Year,Region,Amphipods_BPUE,Cladoceran_BPUE,Herbivorous_Copepods_BPUE,Mysida_BPUE,Predatory_Copepods_BPUE,Amphipods_CPUE,Cladoceran_CPUE,Herbivorous_Copepods_CPUE,Mysida_CPUE,Predatory_Copepods_CPUE
2012,South,0,1723.9859999999999,166049.35412526617,42252.357570109925,7613.60882,0,2873.31,193820.39,284.39,3130.82
2012,West,0,120.93599999999999,272180.0973301557,810437.5953808252,42541.917199999996,0,201.56,2211009.23,1073.42,24930.05
2013,Far West,0,0,5070.154778941061,0,4182.4836000000005,0,0,4339.66,12.82,19281.33
2013,North,0,195.95999999999998,73352.08249262575,217589.70645709225,39184.38366,0,326.59999999999997,479306.5,470.83,15100.46
2013,South,0,4171.986,142020.0672842009,29594.937909526576,11587.549459999998,0,6953.31,212999.03,239.6,4995.2
2013,West,0,18.006,269354.70282728487,808462.0056337899,49329.28294,0,30.01,2370107.99,994.09,28163.22
2014,Far West,0,0,9483.243955591432,0,8738.446179999999,3.7,0,4708.69,38.21,41260.35
2014,North,0,439.638,106179.85494152043,325996.3546305547,41125.361079999995,18.49,732.73,880694.06,360.4,17012.7
2014,South,0,3451.8779999999997,254675.40921024664,12481.194742332305,16679.13508,20.57,5753.13,329666.18,19.21,10354.73
2014,West,0,103.704,293877.7092612849,641688.8851183348,47877.28868,7.8,172.84,2004148.71,474.53000000000003,54525.83
2015,Far West,0,0,8310.7592072184,0,6574.127799999999,3.65,0,3174.5499999999997,19.06,30928.25
2015,North,0,143.118,97992.22274391304,293862.27639120154,41159.75,26.84,238.53,929184.02,331.09999999999997,16960.38
2015,South,0,2300.712,230869.39427241072,56858.22644456409,23082.755699999998,112.05,3834.52,467462.88,95.24,10131.91
2015,West,0,19.505999999999997,291493.64291609573,1089327.8048334362,52162.17792,25.77,32.51,2423252.13,1056.8799999999999,51251.02
2016,Far West,0,0,19852.72262814764,0,19761.624959999997,4.88,0,9587.07,123.62,93230.23
2016,North,0,2432.898,103617.66141527961,987124.4055892848,39897.80704,86.96000000000001,4054.83,569200.48,650.46,15638.82
2016,South,0,9162.324,177773.42960907868,178150.19672741098,17144.49636,96.89999999999999,15270.54,246912.18,117.92,7309.97
2016,West,0,361.428,377726.76995983365,2483569.3401132394,57139.15878,58.54,602.38,2840810.0100000002,1714.28,39730.79
2017,Far West,0,31.686,11090.68578019237,0,13901.73,3.98,52.81,28620.43,60.12,64260.85
2017,North,0,13008.222,65044.87932260744,423624.34516101575,34893.623999999996,71.48,21680.37,187663.52,254.96,13106.39
2017,South,0,13002.672,254016.6492952468,11338.803159371015,12478.84722,96.56,21671.12,147137.14,7.109999999999999,5044.58
2017,West,0,10813.902,629603.0252044927,3182181.8190877126,88597.91214,158,18023.170000000002,3272963.26,1909.74,42164.85
2018,Far West,0,0,8688.52112445646,0,20896.42984,0.51,0,4606.07,6.04,99060.96
2018,North,0,594.324,89424.15504634578,284156.1954379759,55519.763719999995,73.49,990.54,555821.68,219.73,21596.03
2018,South,0,3088.6859999999997,163946.94803836453,33748.58922965927,12622.66656,40.51,5147.81,177578.09,24.56,5119.39
2018,West,0,936.18,347582.3857078638,1305533.2527790994,84457.82497999999,144.28,1560.3,2610109.54,1209.52,50714.340000000004
2019,Far West,0,19.5,12699.86492386726,0,22249.965579999996,2.87,32.5,38373.29,63.95,104504.56
2019,North,0,1852.6979999999999,61984.79863355438,59539.99384635833,31966.33096,43.85,3087.83,205025.38999999998,63.65,11943.61
2019,South,0,3062.94,189550.94653813328,15187.482025775278,13890.69966,44.75,5104.9,131873.28,11.83,5344.5199999999995
2019,West,0,2359.3199999999997,385105.4693744322,954312.0185979032,72396.66481999999,255.28,3932.2,2733861.85,856.49,36261.08
2020,Far West,0,0,7108.052021404241,0,31410.357459999996,0.27,0,2556.92,14.97,148605.35
2020,North,0,38.208,60000.84679482825,65684.39307222214,68026.94686,20.64,63.68,447881.14,101.10000000000001,26862.73
2020,South,0,2121.6,122646.89810437111,22732.72095129306,35372.63942,89.48,3536,255644.17,24.55,15635.75
2020,West,0,2.8440000000000003,258563.4521188578,707297.8644548658,115774.62706,21.77,4.74,2473312.25,695.73,75082.33
