MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
2006-09-01T07:00:00Z,Secchi,NA,76,36,40,100,36,94,156,32,52,50,24,52,76,60
2006-10-01T07:00:00Z,Secchi,NA,110,44,40,140,48,140,180,46,84,56,30,40,90,62
2006-11-01T08:00:00Z,Secchi,NA,30,60,64,80,38,128,180,56,102,50,44,44,96,64
2006-12-01T08:00:00Z,Secchi,NA,112,80,84,120,70,130,196,64,80,62,58,60,150,122
2007-01-01T08:00:00Z,Secchi,NA,53,40,44,58,40,72,94,56,70,50,32,52,72,64
2007-02-01T08:00:00Z,Secchi,NA,82,56,56,112,36,116,140,56,80,60,60,60,42,80
2007-03-01T08:00:00Z,Secchi,NA,64,54,60,92,84,92,114,66,112,72,24,64,106,76
2007-04-01T07:00:00Z,Secchi,NA,138,36,36,116,76,136,108,48,56,44,32,42,56,64
2007-05-01T07:00:00Z,Secchi,NA,NA,30,56,86,60,106,92,40,96,64,32,36,60,56
2007-06-01T07:00:00Z,Secchi,NA,102,20,40,70,32,96,84,32,68,44,22,32,108,36
2007-07-01T07:00:00Z,Secchi,NA,88,48,60,76,56,74,80,42,72,64,40,48,112,48
2007-08-01T07:00:00Z,Secchi,NA,120,76,62,102,60,120,120,65,112,80,40,80,100,70
2007-09-01T07:00:00Z,Secchi,NA,96,56,88,132,52,156,140,72,100,80,70,68,117,80
2007-10-01T07:00:00Z,Secchi,NA,184,80,74,116,56,160,160,88,116,96,56,74,158,96
2007-11-01T07:00:00Z,Secchi,NA,184,52,68,122,52,140,180,72,130,72,36,72,180,84
2007-12-01T08:00:00Z,Secchi,NA,78,32,44,112,52,86,130,60,120,76,24,42,220,120
2008-01-01T08:00:00Z,Secchi,NA,22,20,22,24,24,32,80,24,110,70,30,24,65,64
2008-02-01T08:00:00Z,Secchi,NA,40,20,20,24,28,30,50,22,74,56,20,16,56,40
2008-03-01T08:00:00Z,Secchi,NA,92,24,24,48,44,56,56,24,98,54,20,36,134,84
2008-04-01T07:00:00Z,Secchi,NA,136,20,36,74,36,94,100,30,90,44,34,40,110,98
2008-05-01T07:00:00Z,Secchi,NA,120,22,36,56,24,78,68,22,96,72,36,40,84,72
2008-06-01T07:00:00Z,Secchi,NA,60,28,50,44,30,44,58,60,108,64,46,52,130,60
2008-07-01T07:00:00Z,Secchi,NA,100,32,54,60,32,68,60,50,136,86,28,50,124,66
2008-08-01T07:00:00Z,Secchi,NA,92,84,80,74,50,90,74,84,104,80,60,92,136,86
2008-09-01T07:00:00Z,Secchi,NA,98,76,72,96,42,116,106,76,108,116,96,94,136,90
2008-10-01T07:00:00Z,Secchi,NA,175,72,56,92,42,134,100,92,114,110,80,90,140,100
2008-11-01T07:00:00Z,Secchi,NA,128,36,70,116,40,132,124,50,76,80,32,50,215,194
2008-12-01T08:00:00Z,Secchi,NA,181,40,60,100,64,176,160,68,114,76,50,60,204,156
2009-01-01T08:00:00Z,Secchi,NA,116,40,40,100,40,110,150,50,90,100,30,50,176,120
2009-02-01T08:00:00Z,Secchi,NA,16,46,60,104,60,142,148,64,104,62,64,58,140,104
