MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
2012-04-01T07:00:00Z,DissOrthophos,0.05,0.04,NA,NA,NA,NA,0.04,0.03,0.05,0.07,0.05,0.05,0.05,0.03,0.1
2012-05-01T07:00:00Z,DissOrthophos,0.05,0.03,NA,NA,NA,NA,0.04,0.04,0.04,0.06,0.07,0.06,0.05,0.06,0.09
2012-06-01T07:00:00Z,DissOrthophos,0.06,0.09,NA,NA,NA,NA,0.05,0.04,0.06,0.08,0.08,0.07,0.07,0.06,0.14
2012-07-01T07:00:00Z,DissOrthophos,0.06,0.03,NA,NA,NA,NA,0.04,0.06,0.05,0.09,0.08,0.05,0.07,0.06,0.16
2012-08-01T07:00:00Z,DissOrthophos,0.06,0.03,NA,NA,NA,NA,0.04,0.05,0.05,0.07,0.09,0.06,0.06,0.05,0.13
2012-09-01T07:00:00Z,DissOrthophos,0.08,0.04,NA,NA,NA,NA,0.04,0.04,0.06,0.08,0.09,0.08,0.08,0.05,0.27
2012-10-01T07:00:00Z,DissOrthophos,0.09,0.06,NA,NA,NA,NA,0.05,0.04,0.04,0.08,0.09,0.08,0.08,0.04,0.33
2012-11-01T07:00:00Z,DissOrthophos,0.07,0.07,NA,NA,NA,NA,0.06,0.05,0.06,0.07,0.08,0.07,0.06,0.04,0.19
2012-12-01T08:00:00Z,DissOrthophos,0.15,0.03,NA,NA,NA,NA,0.04,0.04,0.05,0.05,0.07,0.07,0.05,0.11,0.25
2013-01-01T08:00:00Z,DissOrthophos,0.14,0.04,NA,NA,NA,NA,0.06,0.06,0.06,0.06,0.04,0.06,0.06,0.12,0.29
2013-02-01T08:00:00Z,DissOrthophos,0.06,0.06,NA,NA,NA,NA,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.05,0.16
2013-03-01T08:00:00Z,DissOrthophos,0.07,0.05,NA,NA,NA,NA,0.05,0.05,0.04,0.06,0.07,0.06,0.06,0.04,0.17
