MonthYear,Analyte,C10A,C3A,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
1984-05-01T07:00:00Z,DissAmmonia,0.1,0.24,0.07,NA,0.01,0.05,0.04,0.02,0.03,0.03,0.19
1984-06-01T07:00:00Z,DissAmmonia,0.06,0.14,NA,NA,0.03,0.04,0.05,0.05,0.05,0.03,0.35
1984-07-01T07:00:00Z,DissAmmonia,0.11499999999999999,0.12,0.055,0.025,0.035,0.06,0.04,0.03,0.04,0.035,0.1
1984-08-01T07:00:00Z,DissAmmonia,0.08499999999999999,0.12000000000000001,0.03,0.02,0.03,0.065,0.055,0.015,0.04,0.035,0.07
1984-09-01T07:00:00Z,DissAmmonia,0.05,0.185,0.05,0.015,0.02,0.045,0.035,0.03,0.015,0.03,0.20500000000000002
1984-10-01T07:00:00Z,DissAmmonia,0.07,0.22,0.07,0.01,0.01,0.05,0.06,0.02,0.03,0.03,0.12
1984-11-01T08:00:00Z,DissAmmonia,0.29,0.07,0.08,0.08,0.02,0.08,0.09,0.06,0.07,0.08,0.66
1984-12-01T08:00:00Z,DissAmmonia,0.16,0.08,0.1,0.09,0.06,0.1,0.1,0.06,0.08,0.2,0.5
1985-01-01T08:00:00Z,DissAmmonia,0.18,0.14,0.11,0.11,0.09,0.08,0.12,0.11,0.11,0.12,0.43
1985-02-01T08:00:00Z,DissAmmonia,0.36,0.13,0.13,0.14,0.1,0.09,0.1,0.1,0.11,0.31,0.94
1985-03-01T08:00:00Z,DissAmmonia,0.39,0.235,0.11,0.07500000000000001,0.12,0.09,0.12,0.1,0.12,0.045,0.8200000000000001
1985-04-01T08:00:00Z,DissAmmonia,0.195,0.17,0.11499999999999999,0.015,0.065,0.07500000000000001,0.10500000000000001,0.08499999999999999,0.09,0.05,0.56
1985-05-01T07:00:00Z,DissAmmonia,0.060000000000000005,0.165,0.02,0.01,0.015,0.055,0.055,0.05500000000000001,0.065,0.01,0.16
1985-06-01T07:00:00Z,DissAmmonia,0.015,0.23500000000000001,0.060000000000000005,0.025,0.04,0.06,0.065,0.045,0.05,NA,0.18
1985-07-01T07:00:00Z,DissAmmonia,0.07,0.21,0.075,0.030000000000000002,0.05,NA,0.1,0.045,0.04,0.04,0.1
1985-08-01T07:00:00Z,DissAmmonia,0.075,0.185,0.045,0.01,0.025,NA,0.05500000000000001,0.035,0.025,0.025,0.11
1985-09-01T07:00:00Z,DissAmmonia,0.07500000000000001,0.235,0.07,0.01,0.03,NA,0.07,0.06,0.03,0.03,0.125
1985-10-01T07:00:00Z,DissAmmonia,0.125,0.195,0.04,0.015,0.04,0.08499999999999999,0.095,0.05,0.05,0.03,0.10500000000000001
1985-11-01T08:00:00Z,DissAmmonia,0.43,0.35,0.13,0.05,0.08,NA,0.12,0.08,0.1,0.04,NA
1985-12-01T08:00:00Z,DissAmmonia,0.49,0.16,0.17,0.14,0.16,0.12,0.15,0.14,0.16,0.26,0.5
